编号,菜名,分类,配料 (g),适用餐次,口味,预计成本/份,热量 (kcal),蛋白质 (g),脂肪 (g),碳水 (g),标签
469,酸菜鸭血,鸡肉鸭肉菜系,"鸭血(200g), 酸菜(100g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(8g), 盐(2g), 糖(2g), 水或高汤(50g)","午餐, 晚餐",酸辣,4.5,200,10,12,10,荤菜
470,麻辣鸭血,鸡肉鸭肉菜系,"鸭血(200g), 豆芽(50g), 金针菇(50g), 蒜末(10g), 姜末(5g), 葱花(5g), 干辣椒(5g), 花椒(3g), 豆瓣酱(20g), 食用油(20g), 酱油(10g), 糖(5g), 盐(2g), 水或高汤(200g)","午餐, 晚餐",麻辣,8.5,250,12.5,15,15,荤菜
471,泡椒炖羊肉,羊肉菜系,"羊肉(150g), 泡椒(30g), 姜(10g), 蒜(10g), 大葱(20g), 食用油(15g), 酱油(15g), 料酒(10g), 盐(3g), 糖(5g), 水(适量)","午餐, 晚餐",麻辣,18.5,320,25,22,6,汤类
472,萝卜烧羊肉,羊肉菜系,"羊肉(200g), 白萝卜(150g), 姜(10g), 葱(15g), 食用油(15g), 料酒(10g), 酱油(15g), 盐(3g), 糖(5g), 水(适量)","午餐, 晚餐",咸鲜,12.5,350,25,20,15,荤菜
473,小炒羊肉,羊肉菜系,"羊肉片(120g), 青椒(50g), 红椒(30g), 洋葱(50g), 大蒜(10g), 生姜(5g), 干辣椒(3g), 食用油(15g), 生抽(10g), 老抽(5g), 料酒(5g), 盐(2g), 白胡椒粉(1g)","午餐, 晚餐",咸鲜,8.5,285,18,20,8,荤菜
474,红烧羊肉,羊肉菜系,"带皮羊肉(200g), 土豆(100g), 胡萝卜(50g), 姜(10g), 葱(10g), 大蒜(10g), 食用油(15g), 料酒(15g), 生抽(20g), 老抽(5g), 冰糖(10g), 八角(2g), 桂皮(1g), 香叶(0.5g), 干辣椒(1g), 盐(3g), 水(适量)","午餐, 晚餐",咸鲜,18.5,450,28,25,30,荤菜
475,黄焖羊肉,羊肉菜系,"羊肉(150g), 土豆(100g), 胡萝卜(50g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(10g), 料酒(10g), 盐(2g), 糖(5g), 水(适量)","午餐, 晚餐",咸鲜,12.5,450,25,25,30,荤菜
476,葱爆羊肉,羊肉菜系,"羊肉片(150g), 大葱(80g), 食用油(15g), 生抽(15g), 料酒(10g), 姜(5g), 蒜(5g), 淀粉(3g), 糖(2g), 盐(1g)","午餐, 晚餐",葱香,12.5,320,25,20,10,荤菜
477,清汤羊肉,羊肉菜系,"羊肉(150g), 白萝卜(80g), 姜(10g), 葱(10g), 香菜(5g), 盐(4g), 料酒(10g), 白胡椒粉(1g), 水(500g)","午餐, 晚餐",清淡,12.5,280,25,15,8,汤类
478,孜然羊肉,羊肉菜系,"羊肉(150g), 洋葱(50g), 青椒(30g), 红椒(30g), 孜然粉(5g), 辣椒粉(3g), 食用油(15g), 盐(2g), 生抽(10g), 淀粉(5g), 料酒(5g)","午餐, 晚餐",孜然,12.5,320,25,20,10,荤菜
479,生炒羊肉,羊肉菜系,"羊肉(120g), 洋葱(80g), 青椒(50g), 红椒(30g), 大葱(20g), 姜(10g), 蒜(10g), 食用油(15g), 生抽(10g), 老抽(5g), 料酒(10g), 盐(2g), 糖(2g), 淀粉(5g), 胡椒粉(1g)","午餐, 晚餐",咸鲜,8.5,320,22,20,15,荤菜
480,手抓羊肉,羊肉菜系,"羊排(300g), 洋葱(50g), 生姜(20g), 花椒(5g), 盐(8g), 香菜(10g)","午餐, 晚餐",咸鲜,28.5,680,45,52,6,荤菜
481,羊肉炖土豆,羊肉菜系,"羊肉(200g), 土豆(200g), 胡萝卜(50g), 洋葱(50g), 姜(10g), 葱(10g), 食用油(15g), 酱油(15g), 盐(5g), 水(适量)","午餐, 晚餐",清淡,12.5,435,25.5,20.5,35.2,汤类
482,羊肉炖白萝卜,羊肉菜系,"羊肉(200g), 白萝卜(150g), 姜(10g), 葱(10g), 食用油(15g), 料酒(10g), 盐(5g), 水(适量)","午餐, 晚餐",清淡,12.5,350,25,20,10,汤类
483,香辣羊蹄,羊肉菜系,"羊蹄(350g), 干辣椒(15g), 花椒(10g), 生姜(20g), 大蒜(20g), 葱(15g), 食用油(25g), 酱油(15g), 料酒(15g), 白糖(5g), 盐(3g), 八角(2g), 桂皮(2g), 香叶(1g), 清水(适量)","午餐, 晚餐",麻辣,18.5,420,28,30,8,荤菜
484,酸菜鱼片,水产菜系,"黑鱼片(200g), 酸菜(100g), 泡椒(20g), 姜(10g), 蒜(15g), 葱段(10g), 干辣椒(5g), 花椒(3g), 食用油(20g), 料酒(10g), 白胡椒粉(1g), 淀粉(15g), 蛋清(20g), 盐(2g), 糖(2g), 鸡精或味精(1g), 水或高汤(300g)","午餐, 晚餐",酸辣,12.5,320,28,18,12,荤菜
485,剁椒蒸鱼,水产菜系,"鱼块(200g), 剁椒(40g), 姜(10g), 蒜(10g), 葱(10g), 食用油(15g), 料酒(10g), 蒸鱼豉油(20g)","午餐, 晚餐",麻辣,12.5,285,28,16,6,荤菜
486,油焖大虾,水产菜系,"大虾(120g), 葱(10g), 姜(8g), 蒜(15g), 食用油(15g), 料酒(10g), 生抽(15g), 老抽(5g), 白糖(8g), 盐(2g)","午餐, 晚餐",咸鲜,8.5,265,18.5,15.2,12.3,荤菜
487,白灼大虾,水产菜系,"虾(150g), 葱(5g), 姜(5g), 料酒(10g), 食用油(5g), 蒸鱼豉油(20g)","午餐, 晚餐",清淡,15.5,160,28,3.5,2,荤菜
488,香辣泥鳅,水产菜系,"泥鳅(200g), 干辣椒(15g), 花椒(8g), 葱(20g), 姜(15g), 蒜(20g), 食用油(25g), 生抽(15g), 料酒(10g), 白糖(5g), 盐(3g), 淀粉(10g)","午餐, 晚餐",麻辣,12.5,320,28,20,8,荤菜
489,豆花鱼片,水产菜系,"巴沙鱼片(120g), 内酯豆腐(200g), 食用油(15g), 郫县豆瓣酱(20g), 葱(10g), 姜(10g), 蒜(10g), 干辣椒(5g), 花椒(2g), 料酒(10g), 酱油(10g), 糖(5g), 淀粉(5g)","午餐, 晚餐",咸鲜,8.5,320,25,18,12,荤菜
490,水煮鱼片,水产菜系,"鱼片(200g), 豆芽(100g), 油菜(80g), 干辣椒(15g), 花椒(10g), 生姜(15g), 大蒜(15g), 葱(10g), 食用油(60g), 水或高汤(400g), 淀粉(10g), 蛋清(20g), 盐(5g), 鸡精(3g), 料酒(10g)","午餐, 晚餐",麻辣,18.5,450,32,28,20,荤菜
491,清蒸鲈鱼,水产菜系,"鲈鱼(250g), 葱(10g), 姜(10g), 料酒(10g), 蒸鱼豉油(15g), 食用油(8g)","午餐, 晚餐",清淡,12.5,180,25,8,2,荤菜
492,豆豉蒸鱼块,水产菜系,"鱼块(150g), 豆豉(15g), 姜(10g), 蒜(10g), 葱(10g), 食用油(8g), 生抽(10g), 料酒(5g), 糖(2g), 盐(1g)","午餐, 晚餐",清淡,6.5,210,22,11,4,荤菜
493,酸汤鱼片,水产菜系,"鱼片(150g), 酸汤料包(50g), 豆芽(100g), 金针菇(80g), 木耳(30g), 青笋片(50g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 盐(2g), 糖(1g)","午餐, 晚餐",清淡,8.5,280,25,12,15,汤类
494,大理海梢鱼,水产菜系,"海梢鱼(200g), 酸木瓜(30g), 番茄(50g), 姜(10g), 蒜(10g), 葱(10g), 干辣椒(5g), 花椒(2g), 食用油(20g), 盐(3g), 酱油(10g), 料酒(10g), 水(适量)","午餐, 晚餐",咸鲜,18.5,320,28,18,12,荤菜
495,鲜椒焖草鱼,水产菜系,"草鱼块(200g), 鲜青椒(30g), 鲜红椒(20g), 姜(10g), 蒜(15g), 葱(10g), 食用油(20g), 酱油(15g), 料酒(10g), 盐(3g), 糖(2g), 淀粉(5g), 水(50g)","午餐, 晚餐",咸鲜,8.5,280,25,16,8,荤菜
496,杂鱼一锅鲜,水产菜系,"小杂鱼(150g), 豆腐(80g), 白萝卜(50g), 姜(10g), 葱(15g), 蒜(10g), 食用油(15g), 酱油(12g), 料酒(10g), 盐(3g), 水(200g)","午餐, 晚餐",咸鲜,6.5,245,22,12,8,荤菜
497,泥鳅焖荷包蛋,水产菜系,"泥鳅(150g), 鸡蛋(100g), 食用油(20g), 姜(10g), 蒜(10g), 青红椒(30g), 料酒(10g), 生抽(15g), 老抽(5g), 糖(5g), 盐(2g), 水(200g)","午餐, 晚餐",咸鲜,8.5,350,25,24,6,荤菜
498,香辣盘龙鳝,水产菜系,"黄鳝(150g), 干辣椒(15g), 花椒(8g), 生姜(10g), 大蒜(15g), 葱(10g), 食用油(30g), 酱油(15g), 料酒(10g), 白糖(5g), 淀粉(10g), 盐(3g)","午餐, 晚餐",麻辣,18.5,320,22,20,12,荤菜
499,红烧鱼块,水产菜系,"鱼块(200g), 葱(10g), 姜(5g), 蒜(5g), 食用油(20g), 酱油(15g), 料酒(10g), 白糖(8g), 淀粉(10g), 水(50g)","午餐, 晚餐",咸鲜,8.5,350,28,20,12,荤菜
500,豆腐烧鱼,水产菜系,"鱼块(150g), 豆腐块(150g), 食用油(15g), 葱(10g), 姜(5g), 蒜(5g), 酱油(15g), 料酒(10g), 白糖(5g), 水(适量)","午餐, 晚餐",咸鲜,8.5,320,28,18,10,荤菜
501,清蒸鱼块,水产菜系,"鱼块(150g), 姜(10g), 葱(15g), 蒸鱼豉油(20g), 食用油(5g)","午餐, 晚餐",清淡,8.5,185,22,8,3,荤菜
502,肥肠血旺鱼,水产菜系,"肥肠(80g), 血旺(100g), 鱼片(80g), 豆芽(50g), 木耳(20g), 葱(10g), 姜(5g), 蒜(10g), 干辣椒(5g), 花椒(3g), 食用油(15g), 豆瓣酱(20g), 酱油(10g), 盐(2g), 糖(3g), 淀粉(5g), 水或高汤(200g)","午餐, 晚餐",咸鲜,18.5,385,28,22,15,荤菜
503,老干妈鱼块,水产菜系,"鱼块(150g), 老干妈豆豉酱(30g), 食用油(15g), 青椒(20g), 红椒(20g), 蒜(10g), 姜(5g), 葱(10g), 料酒(10g), 生抽(10g), 白糖(5g), 淀粉(10g)","午餐, 晚餐",咸鲜,8.5,350,25,22,12,荤菜
504,辣子鱼块,水产菜系,"鱼块(200g), 干辣椒(20g), 花椒(5g), 姜(15g), 蒜(20g), 葱(20g), 食用油(30g), 料酒(10g), 生抽(15g), 淀粉(20g), 盐(3g), 糖(5g)","午餐, 晚餐",麻辣,8.5,420,28,25,20,荤菜
505,蒜茸粉丝虾,水产菜系,"虾仁(80g), 粉丝(干)(40g), 蒜茸(20g), 葱花(5g), 小米辣(3g), 食用油(10g), 蒸鱼豉油(15g), 盐(1g), 糖(1g)","午餐, 晚餐",咸鲜,6.5,215,15,8.5,18,荤菜
506,烤鱼块,水产菜系,"鱼块(200g), 食用油(30g), 面粉(40g), 淀粉(20g), 盐(3g), 料酒(10g), 姜(5g), 葱(5g), 椒盐粉(2g)","午餐, 晚餐",咸鲜,8.5,420,25,22,28,荤菜
507,泡椒鱼皮,水产菜系,"泡椒鱼皮(150g), 黄瓜(50g), 胡萝卜(30g), 泡椒(20g), 蒜(10g), 姜(5g), 香菜(5g), 食用油(15g), 香醋(10g), 生抽(8g), 白糖(5g), 盐(2g)","午餐, 晚餐",麻辣,6.5,195,12,14,6,荤菜
508,鲫鱼炖豆腐,水产菜系,"鲫鱼(200g), 豆腐(200g), 姜片(10g), 葱段(15g), 食用油(15g), 料酒(10g), 食盐(5g), 白胡椒粉(1g), 水(500g)","午餐, 晚餐",清淡,8.5,320,28.5,18.5,6,汤类
509,干锅牛蛙,水产菜系,"牛蛙净肉(200g), 土豆(100g), 藕片(80g), 洋葱(50g), 青红椒各(30g), 干辣椒(10g), 花椒(5g), 姜(15g), 蒜(20g), 葱(20g), 食用油(40g), 干锅酱/火锅底料(30g), 生抽(15g), 料酒(10g), 糖(5g), 盐(3g), 淀粉(10g)","午餐, 晚餐",麻辣,18.5,420,35,22,25,荤菜
510,麻辣小龙虾,水产菜系,"小龙虾(200g), 食用油(20g), 干辣椒(10g), 花椒(5g), 姜(10g), 蒜(15g), 大葱(20g), 料酒(10g), 生抽(15g), 糖(5g), 盐(3g), 香料包(5g)","午餐, 晚餐",麻辣,18.5,280,25,15,8,荤菜
511,甜酒焖草鱼,水产菜系,"草鱼块(150g), 甜酒酿(50g), 姜(10g), 葱(10g), 食用油(15g), 生抽(10g), 老抽(5g), 盐(2g), 糖(5g), 水(50g)","午餐, 晚餐",咸鲜,8.5,320,25,18,12,荤菜
512,酸菜焖鲤鱼,水产菜系,"鲤鱼块(150g), 酸菜(50g), 姜(10g), 蒜(10g), 葱(10g), 食用油(15g), 酱油(10g), 料酒(5g), 糖(3g), 淀粉(5g)","午餐, 晚餐",酸辣,8.5,280,22,15,10,荤菜
513,水煮活鱼,水产菜系,"草鱼片(200g), 豆芽(100g), 白菜(80g), 干辣椒(15g), 花椒(10g), 姜(10g), 蒜(15g), 葱(10g), 郫县豆瓣酱(30g), 食用油(50g), 料酒(10g), 淀粉(10g), 盐(5g), 糖(3g), 水或高汤(400g)","午餐, 晚餐",麻辣,18.5,450,35,28,15,荤菜
514,跳水鲈鱼,水产菜系,"鲈鱼(200g), 泡椒(20g), 姜(10g), 蒜(10g), 葱(15g), 食用油(15g), 酱油(15g), 料酒(10g), 糖(5g), 盐(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,12.5,280,25,18,6,荤菜
515,红烧鲤鱼,水产菜系,"鲤鱼(150g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(15g), 料酒(10g), 白糖(8g), 盐(2g), 水(适量)","午餐, 晚餐",咸鲜,8.5,280,22,18,6,荤菜
516,干爆鳝鱼,水产菜系,"鳝鱼片(120g), 青椒(50g), 红椒(30g), 洋葱(40g), 蒜末(15g), 姜末(10g), 食用油(20g), 酱油(15g), 料酒(10g), 白糖(5g), 盐(2g), 淀粉(8g), 花椒(2g), 干辣椒(3g)","午餐, 晚餐",咸鲜,18,320,22,18,15,荤菜
517,口味田鸡,水产菜系,"田鸡腿(200g), 青椒(50g), 红椒(30g), 洋葱(40g), 大蒜(20g), 姜(10g), 干辣椒(5g), 花椒(3g), 食用油(30g), 生抽(15g), 老抽(5g), 料酒(10g), 糖(5g), 淀粉(10g), 盐(2g)","午餐, 晚餐",咸鲜,18.5,320,28,18,12,荤菜
518,蒜茸花甲,水产菜系,"花甲肉(120g), 蒜茸(30g), 食用油(15g), 小米辣(5g), 葱花(5g), 生抽(10g), 蚝油(5g), 糖(2g), 盐(1g)","午餐, 晚餐",咸鲜,8.5,245,15.2,16.8,8.5,荤菜
519,金汤鱼头,水产菜系,"鱼头(400g), 南瓜泥(100g), 泡椒(30g), 黄灯笼辣椒酱(20g), 葱(15g), 姜(10g), 蒜(10g), 食用油(15g), 白醋(10g), 料酒(10g), 盐(5g), 糖(3g), 白胡椒粉(1g), 水或高汤(300g)","午餐, 晚餐",清淡,18.5,450,32,28,15,汤类
520,小炒鳝鱼片,水产菜系,"黄鳝片(150g), 青红椒(50g), 洋葱(50g), 姜(10g), 蒜(15g), 葱(10g), 食用油(20g), 生抽(15g), 料酒(10g), 盐(3g), 糖(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,12.5,280,22,15,10,荤菜
521,香辣小河鱼,水产菜系,"小河鱼(100g), 干辣椒(10g), 花椒(5g), 生姜(10g), 大蒜(10g), 小葱(5g), 食用油(20g), 食盐(2g), 生抽(10g), 料酒(5g), 淀粉(5g), 白糖(2g)","午餐, 晚餐",麻辣,8.5,280,18,18,10,荤菜
522,鱼头煮丝瓜,水产菜系,"鱼头(200g), 丝瓜(150g), 姜(10g), 葱(10g), 食用油(15g), 盐(5g), 料酒(10g), 水(500g)","午餐, 晚餐",清淡,8.5,285,18,20,6,荤菜
523,鱼头焖豆腐,水产菜系,"鱼头(200g), 豆腐(150g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(10g), 料酒(5g), 盐(2g), 糖(2g), 水(适量)","午餐, 晚餐",咸鲜,8.5,320,25,20,6,荤菜
524,香辣黄辣丁,水产菜系,"黄辣丁(200g), 干辣椒(15g), 花椒(8g), 姜(10g), 蒜(15g), 葱(20g), 食用油(30g), 酱油(15g), 料酒(10g), 盐(3g), 糖(2g), 淀粉(5g)","午餐, 晚餐",麻辣,18.5,320,28,20,8,荤菜
525,青椒焖甲鱼,水产菜系,"甲鱼块(150g), 青椒(50g), 姜(10g), 蒜(10g), 食用油(15g), 酱油(15g), 料酒(10g), 盐(2g), 糖(3g), 水(适量)","午餐, 晚餐",咸鲜,28.5,320,25,22,5,荤菜
526,香煎紫苏鱼,水产菜系,"鱼块(150g), 紫苏叶(10g), 生姜(5g), 大蒜(5g), 葱(5g), 食用油(15g), 酱油(8g), 料酒(5g), 盐(2g), 白胡椒粉(1g)","午餐, 晚餐",咸鲜,8.5,280,25,18,3,荤菜
527,爆炒河虾,水产菜系,"河虾(100g), 青椒(30g), 红椒(20g), 姜(5g), 蒜(10g), 葱(10g), 食用油(15g), 料酒(10g), 生抽(10g), 盐(2g), 糖(1g), 淀粉(3g)","午餐, 晚餐",咸鲜,8.5,195,18,10,7,荤菜
528,韭菜炒河虾,水产菜系,"韭菜(200g), 河虾(100g), 蒜末(10g), 姜末(5g), 食用油(15g), 盐(3g)","午餐, 晚餐",咸鲜,8.5,245,22.5,12.8,10.2,荤菜
529,黄辣丁焖豆腐,水产菜系,"黄辣丁(200g), 豆腐(150g), 姜(10g), 葱(15g), 蒜(10g), 食用油(15g), 料酒(10g), 酱油(15g), 盐(3g), 糖(2g), 水(适量)","午餐, 晚餐",咸鲜,12.5,320,28,18,8,荤菜
530,乡里水煮鱼,水产菜系,"草鱼片(200g), 豆芽(100g), 黄瓜(80g), 干辣椒(15g), 花椒(8g), 姜(10g), 蒜(15g), 葱(10g), 豆瓣酱(30g), 食用油(40g), 料酒(10g), 淀粉(15g), 盐(3g), 糖(2g), 水或高汤(300g)","午餐, 晚餐",麻辣,18.5,420,32,28,12,荤菜
531,小炒河蚌肉,水产菜系,河蚌肉(200g)，青椒(50g)，红椒(30g)，洋葱(50g)，姜(10g)，蒜(15g)，食用油(20g)，生抽(15g)，料酒(10g)，盐(3g)，糖(2g)，淀粉(5g),"午餐, 晚餐",咸鲜,8.5,280,22,16,12,荤菜
532,干锅鱿鱼须,水产菜系,"鱿鱼须(200g), 青椒(80g), 红椒(80g), 洋葱(100g), 干辣椒(10g), 花椒(5g), 姜片(10g), 蒜瓣(20g), 食用油(30g), 豆瓣酱(20g), 生抽(15g), 白糖(5g), 料酒(10g), 盐(3g), 白芝麻(3g)","午餐, 晚餐",麻辣,12.5,350,28,18,20,荤菜
533,爆炒鱿鱼须,水产菜系,"鱿鱼须(150g), 青椒(50g), 红椒(30g), 洋葱(50g), 姜(10g), 蒜(10g), 食用油(15g), 生抽(10g), 料酒(5g), 盐(2g), 糖(2g), 淀粉(3g)","午餐, 晚餐",咸鲜,8.5,250,22,12,15,荤菜
534,仔姜鲜椒鱼,水产菜系,"鱼片(150g), 仔姜(30g), 鲜青红椒(30g), 蒜(15g), 葱(10g), 食用油(20g), 酱油(10g), 料酒(5g), 淀粉(5g), 盐(2g), 糖(2g), 花椒(1g)","午餐, 晚餐",咸鲜,12.5,280,25,16,8,荤菜
535,剁椒鱼头,水产菜系,"鱼头(400g), 剁椒(100g), 姜(15g), 蒜(15g), 葱(10g), 食用油(20g), 料酒(10g), 蒸鱼豉油(15g), 白糖(5g)","午餐, 晚餐",麻辣,18.5,450,35,28,8,荤菜
536,麻辣冷锅鱼,水产菜系,"草鱼片(200g), 豆芽(80g), 藕片(50g), 木耳(30g), 宽粉(60g), 姜末(10g), 蒜末(15g), 干辣椒(20g), 花椒(10g), 郫县豆瓣酱(30g), 食用油(50g), 料酒(10g), 生抽(15g), 盐(3g), 糖(5g), 香菜(5g), 白芝麻(2g), 高汤或水(400g)","午餐, 晚餐",麻辣,18.5,485,32,28,25,凉菜
537,大炖鳝鱼,水产菜系,"鳝鱼段(200g), 五花肉(50g), 蒜瓣(30g), 姜(20g), 葱(20g), 食用油(20g), 酱油(15g), 料酒(10g), 白糖(5g), 盐(3g), 水(适量)","午餐, 晚餐",清淡,18.5,320,25,20,8,汤类
538,香辣带鱼,水产菜系,"带鱼段(200g), 食用油(20g), 干辣椒(10g), 花椒(5g), 姜(10g), 蒜(15g), 葱(15g), 料酒(15g), 生抽(15g), 老抽(5g), 白糖(8g), 淀粉(15g), 盐(3g)","午餐, 晚餐",麻辣,12.5,420,28,25,18,荤菜
539,豆豉蒸鱼,水产菜系,"鱼块(200g), 豆豉(15g), 生姜(10g), 蒜末(10g), 葱(10g), 食用油(10g), 酱油(8g), 料酒(5g), 糖(3g), 盐(1g)","午餐, 晚餐",清淡,8.5,250,25,12,5,荤菜
540,尖椒炖甲鱼,水产菜系,"甲鱼块(200g), 尖椒(100g), 姜(20g), 蒜(20g), 食用油(20g), 料酒(15g), 酱油(15g), 盐(5g), 糖(3g), 水(200g)","午餐, 晚餐",清淡,28.5,320,28,20,6,汤类
541,大千干烧鱼,水产菜系,"鱼块(200g), 猪肉末(50g), 泡椒(20g), 姜末(10g), 蒜末(10g), 葱花(10g), 食用油(30g), 料酒(15g), 酱油(15g), 醋(10g), 糖(5g), 盐(3g), 高汤(100g)","午餐, 晚餐",咸鲜,18.5,420,32,25,12,荤菜
542,泡椒乌鱼花,水产菜系,"乌鱼片(150g), 泡椒(30g), 姜(10g), 蒜(15g), 葱(10g), 食用油(20g), 料酒(10g), 生抽(15g), 白糖(5g), 淀粉(8g), 盐(2g), 鸡精(1g)","午餐, 晚餐",麻辣,12.5,280,25,15,10,荤菜
543,椒盐沙丁鱼,水产菜系,"沙丁鱼(150g), 椒盐粉(5g), 玉米淀粉(20g), 面粉(20g), 鸡蛋(20g), 食用油(20g), 葱花(3g)","午餐, 晚餐",椒盐,8.5,285,18,15,20,荤菜
544,咸蛋黄小龙虾,水产菜系,"小龙虾尾(150g), 咸蛋黄酱(40g), 食用油(25g), 大蒜(15g), 生姜(5g), 干辣椒(2g), 淀粉(10g), 盐(1g), 糖(2g), 料酒(10g)","午餐, 晚餐",咸鲜,18.5,320,22,22,10,荤菜
545,番茄巴沙鱼,水产菜系,"巴沙鱼片(200g), 番茄(300g), 番茄酱(50g), 葱(10g), 姜(10g), 蒜(10g), 食用油(15g), 盐(3g), 糖(5g), 淀粉(10g), 水(100g)","午餐, 晚餐",咸鲜,8.5,280,25,12,18,荤菜
546,生炸小白鱼,水产菜系,"小白鱼(100g), 生姜(5g), 葱(5g), 料酒(5g), 食盐(2g), 胡椒粉(1g), 淀粉(20g), 食用油(30g)","午餐, 晚餐",咸鲜,4.5,250,18,15,12,荤菜
547,金丝虾球,水产菜系,"虾仁(120g), 土豆丝(100g), 面粉(50g), 淀粉(30g), 食用油(20g), 盐(2g), 白胡椒粉(1g)","午餐, 晚餐",咸鲜,8.5,320,18,15,28,荤菜
548,干锅虾,水产菜系,"虾仁(120g), 土豆(100g), 莲藕(80g), 青椒(30g), 红椒(30g), 洋葱(50g), 芹菜(30g), 干辣椒(10g), 花椒(5g), 大蒜(20g), 生姜(15g), 葱(10g), 食用油(30g), 郫县豆瓣酱(20g), 生抽(15g), 料酒(10g), 糖(5g), 盐(3g), 白芝麻(2g)","午餐, 晚餐",麻辣,18.5,420,28,22,32,荤菜
549,口味虾,水产菜系,"小龙虾(300g), 姜(10g), 蒜(15g), 干辣椒(5g), 花椒(3g), 八角(1g), 桂皮(1g), 香叶(0.5g), 紫苏(5g), 葱(10g), 料酒(15g), 食用油(20g), 豆瓣酱(20g), 生抽(15g), 老抽(5g), 糖(5g), 盐(2g), 啤酒(100g)","午餐, 晚餐",咸鲜,18.5,420,35,28,12,荤菜
550,生焖大虾,水产菜系,"大虾(150g), 蒜末(15g), 姜末(10g), 葱花(10g), 食用油(15g), 料酒(10g), 生抽(15g), 白糖(5g), 盐(2g), 白胡椒粉(1g), 水(30g)","午餐, 晚餐",咸鲜,12.5,220,25,10,6,荤菜
551,干锅排骨虾,水产菜系,"排骨(200g), 虾(100g), 土豆(150g), 藕片(100g), 洋葱(80g), 青红椒(60g), 干辣椒(10g), 花椒(5g), 姜(20g), 蒜(30g), 葱(20g), 食用油(30g), 豆瓣酱(20g), 酱油(15g), 料酒(10g), 糖(5g), 盐(3g), 白芝麻(2g), 香菜(5g)","午餐, 晚餐",麻辣,18.5,580,32,35,38,荤菜
552,香炸黄花鱼,水产菜系,"黄花鱼(150g), 面粉(30g), 玉米淀粉(10g), 盐(2g), 白胡椒粉(0.5g), 料酒(5g), 生姜汁(3g), 食用油(15g)","午餐, 晚餐",咸鲜,5.5,280,20.5,14.8,15.2,荤菜
553,私房糍粑鱼,水产菜系,"草鱼块(200g), 干辣椒(5g), 花椒(2g), 生姜(10g), 大蒜(10g), 葱(10g), 料酒(10g), 生抽(15g), 老抽(5g), 香醋(5g), 白糖(8g), 食盐(2g), 食用油(20g), 淀粉(10g), 白芝麻(2g)","午餐, 晚餐",咸鲜,12.5,320,28,18,12,荤菜
554,鱼泡浇肥肠,水产菜系,"鱼泡(80g), 猪肥肠(120g), 葱(10g), 姜(5g), 蒜(10g), 干辣椒(3g), 食用油(15g), 酱油(10g), 料酒(10g), 盐(2g), 糖(3g), 淀粉(5g)","午餐, 晚餐",咸鲜,12.5,320,18,24,8,荤菜
555,干锅田鸡,水产菜系,"田鸡腿肉(150g), 青椒(30g), 红椒(30g), 洋葱(50g), 芹菜(30g), 大蒜(15g), 生姜(10g), 干辣椒(5g), 花椒(3g), 食用油(20g), 郫县豆瓣酱(15g), 生抽(10g), 料酒(10g), 白糖(5g), 淀粉(8g), 盐(2g)","午餐, 晚餐",麻辣,18.5,320,28,18,12,荤菜
556,糖醋鱼片,水产菜系,"鱼片(150g), 淀粉(30g), 食用油(15g), 番茄酱(30g), 白砂糖(20g), 白醋(15g), 料酒(5g), 盐(2g), 葱(5g), 姜(3g), 蒜(5g)","午餐, 晚餐",糖醋,8.5,350,18,12,40,荤菜
557,黄辣丁,水产菜系,"黄辣丁(200g), 姜(10g), 葱(15g), 蒜(15g), 泡椒(20g), 泡姜(10g), 豆瓣酱(15g), 食用油(20g), 料酒(10g), 生抽(10g), 白糖(5g), 淀粉(8g), 花椒(2g), 水(100g)","午餐, 晚餐",咸鲜,18.5,320,28,18,12,荤菜
558,爆炒鱿鱼,水产菜系,"鱿鱼(200g), 青椒(80g), 红椒(80g), 洋葱(80g), 姜(10g), 蒜(15g), 食用油(25g), 生抽(15g), 料酒(10g), 盐(3g), 糖(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,8.5,320,28,15,18,荤菜
559,酸菜鱼,水产菜系,"鱼片(150g), 酸菜(100g), 豆芽(80g), 泡椒(15g), 生姜(10g), 大蒜(10g), 葱(10g), 干辣椒(5g), 花椒(3g), 食用油(20g), 盐(2g), 糖(2g), 料酒(10g), 淀粉(10g), 水(300g)","午餐, 晚餐",酸辣,8.5,320,28,18,12,荤菜
560,烤鱼丸、虾丸,水产菜系,"鱼丸(100g), 虾丸(100g), 食用油(15g), 酱油(8g), 孜然粉(2g), 辣椒粉(2g)","午餐, 晚餐",咸鲜,6.5,280,18,16,12,荤菜
561,芦笋炒虾仁,水产菜系,"虾仁(120g), 芦笋(150g), 蒜(10g), 姜(5g), 食用油(15g), 盐(3g), 料酒(5g), 淀粉(3g)","午餐, 晚餐",咸鲜,8.5,210,20.5,11.2,7.8,荤菜
